CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
EDCI30900,0.0,40.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
EDCI31100,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EDCI32600,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI33500,42.0,29.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EDCI35000,82.0,18.0,19.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
EDCI36100,11.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI36300,36.0,13.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI36400,9.0,18.0,5.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
EDCI36500,0.0,27.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EDCI37001,31.0,39.0,10.0,4.0,8.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0
EDCI38100,0.0,10.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
EDCI42300,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI45200,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI49600,0.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI55800,0.0,14.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
EDCI57200,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI58000,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI59100,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI61500,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI61800,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI62700,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI62800,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDCI68200,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS10500,299.0,207.0,86.0,59.0,42.0,39.0,13.0,12.0,10.0,6.0,6.0,7.0,51.0
EDPS17700,12.0,24.0,2.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
EDPS20001,110.0,9.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EDPS21100,0.0,34.0,9.0,4.0,9.0,7.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0
EDPS23500,37.0,23.0,31.0,8.0,5.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
EDPS24000,0.0,20.0,19.0,6.0,6.0,4.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0
EDPS24800,0.0,59.0,22.0,9.0,21.0,10.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0
EDPS26500,13.0,8.0,4.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS26501,55.0,29.0,25.0,11.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
EDPS30000,21.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS30100,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS30900,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS31500,256.0,146.0,46.0,23.0,26.0,6.0,5.0,7.0,3.0,3.0,3.0,1.0,9.0
EDPS31600,33.0,27.0,17.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
EDPS31700,32.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EDPS32700,0.0,60.0,12.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
EDPS36201,16.0,17.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
EDPS36300,1.0,6.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS43000,52.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS43010,28.0,16.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS46100,14.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS46200,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS49000,0.0,94.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
EDPS50500,0.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS53000,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS53300,1.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS54000,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EDPS55600,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS62400,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS63200,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDPS63300,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDST20010,58.0,40.0,14.0,8.0,15.0,9.0,3.0,12.0,6.0,1.0,0.0,1.0,10.0
EEE29000,0.0,62.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
EEE29500,0.0,17.0,13.0,15.0,11.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EEE35000,0.0,2.0,0.0,3.0,9.0,3.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0
EEE35500,2.0,25.0,26.0,8.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
EEE36000,0.0,34.0,0.0,5.0,11.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
EEE45600,9.0,8.0,5.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
EEE48000,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EEE53000,0.0,5.0,3.0,18.0,10.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
EEE56000,10.0,63.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EEE69000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENE62000,5.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENE69000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGL10600,144.0,274.0,138.0,86.0,83.0,43.0,18.0,18.0,20.0,13.0,3.0,4.0,37.0
ENGL10800,45.0,106.0,85.0,38.0,31.0,25.0,9.0,5.0,3.0,1.0,4.0,1.0,10.0
ENGL11000,62.0,104.0,30.0,14.0,14.0,7.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0
ENGL11100,0.0,33.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
ENGL20200,0.0,10.0,12.0,9.0,7.0,4.0,7.0,5.0,1.0,1.0,3.0,1.0,4.0
ENGL20300,1.0,6.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ENGL20400,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENGL20500,54.0,81.0,8.0,4.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0
ENGL23000,2.0,7.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
